{'lat': 41.329052, 'lon': -72.92187, 'pathPercent': 0.184611833389933, 'sinProgress': 0.9167832840633809, 'cosProgress': 0.39938503985748147, 'lastStop': 0, 'lastUpdate': 1713549415, 'dayPercent': 0.63179, 'weekday': 4, 'estimatedTimes': {'10': 31, '2': 38, '5': 40, '52': 41, '41': 44, '20': 45, '108': 47, '106': 3, '34': 4, '101': 5, '47': 6, '100': 7, '102': 8, '105': 9, '69': 10, '139': 11, '136': 11, '130': 12, '129': 12, '140': 13, '133': 14, '135': 15, '138': 16, '97': 17, '66': 18, '63': 19, '42': 21, '98': 23, '38': 25, '39': 26, '72': 28, '43': 30}}
{'lat': 41.329052, 'lon': -72.92187, 'pathPercent': 0.184611833389933, 'sinProgress': 0.9167832840633809, 'cosProgress': 0.39938503985748147, 'lastStop': 106, 'lastUpdate': 1713549418, 'dayPercent': 0.63209, 'weekday': 4, 'estimatedTimes': {'10': 31, '2': 38, '5': 38, '52': 40, '41': 42, '20': 43, '108': 45, '106': 46, '34': 2, '101': 3, '47': 4, '100': 5, '102': 6, '105': 7, '69': 8, '139': 9, '136': 9, '130': 10, '129': 10, '140': 11, '133': 12, '135': 13, '138': 14, '97': 15, '66': 16, '63': 17, '42': 19, '98': 21, '38': 23, '39': 24, '72': 26, '43': 28}}
{'lat': 41.329052, 'lon': -72.92187, 'pathPercent': 0.184611833389933, 'sinProgress': 0.9167832840633809, 'cosProgress': 0.39938503985748147, 'lastStop': 34, 'lastUpdate': 1713549440, 'dayPercent': 0.63239, 'weekday': 4, 'estimatedTimes': {'10': 28, '2': 35, '5': 37, '52': 38, '41': 41, '20': 42, '108': 44, '106': 45, '34': 47, '101': 47, '47': 3, '100': 4, '102': 5, '105': 6, '69': 7, '139': 8, '136': 8, '130': 9, '129': 9, '140': 10, '133': 11, '135': 12, '138': 13, '97': 14, '66': 15, '63': 16, '42': 17, '98': 19, '38': 22, '39': 23, '72': 25, '43': 27}}
{'lat': 41.329052, 'lon': -72.92187, 'pathPercent': 0.184611833389933, 'sinProgress': 0.9167832840633809, 'cosProgress': 0.39938503985748147, 'lastStop': 34, 'lastUpdate': 1713549450, 'dayPercent': 0.6327, 'weekday': 4, 'estimatedTimes': {'10': 25, '2': 32, '5': 34, '52': 35, '41': 38, '20': 39, '108': 41, '106': 42, '34': 44, '101': 44, '47': 46, '100': 1, '102': 2, '105': 3, '69': 4, '139': 5, '136': 5, '130': 6, '129': 6, '140': 7, '133': 8, '135': 9, '138': 10, '97': 11, '66': 12, '63': 13, '42': 14, '98': 17, '38': 19, '39': 20, '72': 22, '43': 24}}
{'lat': 41.329052, 'lon': -72.92187, 'pathPercent': 0.184611833389933, 'sinProgress': 0.9167832840633809, 'cosProgress': 0.39938503985748147, 'lastStop': 34, 'lastUpdate': 1713549462, 'dayPercent': 0.63301, 'weekday': 4, 'estimatedTimes': {'10': 24, '2': 30, '5': 32, '52': 34, '41': 36, '20': 38, '108': 39, '106': 41, '34': 42, '101': 43, '47': 44, '100': 44, '102': 0, '105': 1, '69': 2, '139': 3, '136': 3, '130': 4, '129': 5, '140': 5, '133': 6, '135': 7, '138': 8, '97': 9, '66': 10, '63': 12, '42': 13, '98': 15, '38': 17, '39': 18, '72': 20, '43': 22}}
{'lat': 41.329052, 'lon': -72.92187, 'pathPercent': 0.184611833389933, 'sinProgress': 0.9167832840633809, 'cosProgress': 0.39938503985748147, 'lastStop': 34, 'lastUpdate': 1713549472, 'dayPercent': 0.63331, 'weekday': 4, 'estimatedTimes': {'10': 23, '2': 30, '5': 32, '52': 33, '41': 36, '20': 37, '108': 39, '106': 40, '34': 42, '101': 42, '47': 44, '100': 44, '102': 0, '105': 1, '69': 2, '139': 3, '136': 3, '130': 4, '129': 4, '140': 5, '133': 6, '135': 7, '138': 8, '97': 9, '66': 10, '63': 11, '42': 12, '98': 14, '38': 17, '39': 18, '72': 20, '43': 22}}
{'lat': 41.329052, 'lon': -72.92187, 'pathPercent': 0.184611833389933, 'sinProgress': 0.9167832840633809, 'cosProgress': 0.39938503985748147, 'lastStop': 34, 'lastUpdate': 1713549482, 'dayPercent': 0.63362, 'weekday': 4, 'estimatedTimes': {'10': 23, '2': 30, '5': 32, '52': 33, '41': 36, '20': 37, '108': 39, '106': 40, '34': 42, '101': 42, '47': 43, '100': 44, '102': 0, '105': 1, '69': 2, '139': 3, '136': 3, '130': 4, '129': 4, '140': 5, '133': 6, '135': 6, '138': 7, '97': 8, '66': 10, '63': 11, '42': 12, '98': 14, '38': 17, '39': 18, '72': 20, '43': 22}}
{'lat': 41.329052, 'lon': -72.92187, 'pathPercent': 0.184611833389933, 'sinProgress': 0.9167832840633809, 'cosProgress': 0.39938503985748147, 'lastStop': 34, 'lastUpdate': 1713549492, 'dayPercent': 0.63392, 'weekday': 4, 'estimatedTimes': {'10': 23, '2': 30, '5': 32, '52': 33, '41': 36, '20': 37, '108': 39, '106': 40, '34': 41, '101': 42, '47': 43, '100': 44, '102': 0, '105': 0, '69': 1, '139': 2, '136': 3, '130': 3, '129': 4, '140': 5, '133': 5, '135': 6, '138': 7, '97': 8, '66': 10, '63': 11, '42': 12, '98': 14, '38': 17, '39': 18, '72': 20, '43': 22}}
{'lat': 41.329052, 'lon': -72.92187, 'pathPercent': 0.184611833389933, 'sinProgress': 0.9167832840633809, 'cosProgress': 0.39938503985748147, 'lastStop': 34, 'lastUpdate': 1713549512, 'dayPercent': 0.63423, 'weekday': 4, 'estimatedTimes': {'10': 24, '2': 30, '5': 32, '52': 34, '41': 36, '20': 38, '108': 39, '106': 41, '34': 42, '101': 43, '47': 44, '100': 44, '102': 0, '105': 1, '69': 2, '139': 3, '136': 3, '130': 4, '129': 4, '140': 5, '133': 6, '135': 7, '138': 8, '97': 9, '66': 10, '63': 12, '42': 13, '98': 15, '38': 17, '39': 18, '72': 20, '43': 22}}
{'lat': 41.329052, 'lon': -72.92187, 'pathPercent': 0.184611833389933, 'sinProgress': 0.9167832840633809, 'cosProgress': 0.39938503985748147, 'lastStop': 34, 'lastUpdate': 1713549522, 'dayPercent': 0.63454, 'weekday': 4, 'estimatedTimes': {'10': 23, '2': 30, '5': 32, '52': 33, '41': 36, '20': 37, '108': 39, '106': 40, '34': 42, '101': 42, '47': 44, '100': 44, '102': 0, '105': 1, '69': 2, '139': 3, '136': 3, '130': 4, '129': 4, '140': 5, '133': 6, '135': 6, '138': 8, '97': 8, '66': 10, '63': 11, '42': 12, '98': 14, '38': 17, '39': 18, '72': 20, '43': 22}}
{'lat': 41.329052, 'lon': -72.92187, 'pathPercent': 0.184611833389933, 'sinProgress': 0.9167832840633809, 'cosProgress': 0.39938503985748147, 'lastStop': 34, 'lastUpdate': 1713549532, 'dayPercent': 0.63485, 'weekday': 4, 'estimatedTimes': {'10': 23, '2': 30, '5': 32, '52': 33, '41': 36, '20': 37, '108': 39, '106': 40, '34': 41, '101': 42, '47': 43, '100': 44, '102': 0, '105': 1, '69': 1, '139': 3, '136': 3, '130': 3, '129': 4, '140': 5, '133': 6, '135': 6, '138': 7, '97': 8, '66': 10, '63': 11, '42': 12, '98': 14, '38': 17, '39': 18, '72': 20, '43': 22}}
